## SourceMame       c-factor_1sigma     c-factor_2sigma     
DoAr25              0.1869              -0.0807             
EC92                0.6736              0.6611              
Elia32              0.317               0.3078              
Elia33              0.4456              0.4397              
GV_Tau              0.8003              0.7773              
GY92-235            0.1554              0.0877                      
IRAS03260+3111      0.7607              0.7412              
IRAS03301+3111      0.4236              0.3349              
IRAS04113+2758S     0.4451              0.221               
IRAS04181+2655M     0.1693              0.0819              
IRAS04181+2655S     0.6633              0.5586              
IRAS04489+3042      -inf                -inf                
IRAS04591-0856      0.7373              0.6998              
IRAS05379-0758      0.4367              0.2461              
IRS5                0.4544              0.4544              
OphIRS63            0.4273              0.2086              
T-Tauri             0.9506              0.9376              
V347_Aur            0.6309              0.5687              
WLY2-42             -0.5635             -0.5898             
YLW58               -1.7506             -1.9718             
