## SourceMame       c-factor_1sigma     c-factor_2sigma     c-factor_3sigma     
DG-Tau              0.4871              0.3944              0.256               
DoAr25              0.1642              0.1131              0.0231              
EC92                0.613               0.601               0.586              
Elia32              0.326               0.326              0.326              
Elia33              0.4933              0.4933              0.4933              
GV Tau              0.6358              0.6319              0.6184              
GY92-235            0.3307              0.3015              0.2852                           
IRAS03260+3111      0.2969              0.29                0.2622              
IRAS03301+3111      0.4446              0.3688              0.2663              
IRAS04113+2758S     0.5044              0.4364              0.3309              
IRAS04181+2655M     0.2839              0.2564              0.1968              
IRAS04181+2655S     0.6789              0.6455              0.6045              
IRAS04489+3042      -8.8003             -8.8003             -10.8522            
IRAS04591-0856      0.5641              0.5255              0.4784              
IRAS05379-0758      -0.0707             -0.4915             -0.8937             
IRS5                0.3645              0.3645              0.3643              
OphIRS63            0.6057              0.5744              0.5121              
T-Tauri             0.8673              0.8489              0.8217              
V347_Aur            0.536               0.3839              0.1481              
WLY2-42             0.177               0.177               0.176              
YLW58               0.0907              0.0907              0.0907              
