## SourceMame       c-factor_1sigma     c-factor_2sigma     c-factor_3sigma     c-factor_gaussian   
DG-Tau              0.2866              -0.1034             nan                 0.8709              
DoAr25              0.1869              -0.0807             -0.3475             0.7788              
DoAr43              -2.4275             -3.4395             -4.2751             0.8758              
EC92                0.6736              0.6611              0.6415              0.4307              
Elia32              0.317               0.3078              0.3034              0.0285              
Elia33              0.4456              0.4397              0.4352              0.7261              
FPTau               nan                 nan                 nan                 nan                 
GV_Tau              0.8003              0.7773              0.7429              0.7415              
GY92-235            0.1554              0.0877              -0.0806             0.3994              
HK-Tau              -inf                -inf                -inf                nan                 
Haro6-13            -inf                nan                 nan                 nan                 
Haro6-28            -inf                -inf                -inf                nan                 
Haro6-33            -inf                -inf                -inf                nan                 
IRAS03220+3035      -inf                -inf                -inf                nan                 
IRAS03260+3111      0.7607              0.7412              0.7281              0.6272              
IRAS03301+3111      0.4236              0.3349              0.2328              0.6554              
IRAS04108+2803      nan                 nan                 nan                 nan                 
IRAS04113+2758S     0.4451              0.221               0.0394              0.6771              
IRAS04181+2655M     0.1693              0.0819              -0.0607             0.2042              
IRAS04181+2655S     0.6633              0.5586              0.3446              0.5826              
IRAS04295+2251      nan                 nan                 nan                 nan                 
IRAS04369+2539      0.5103              0.2764              -0.0168             0.6979              
IRAS04489+3042      -inf                -inf                -inf                -inf                
IRAS04591-0856      0.7373              0.6998              0.6412              0.7147              
IRAS05256+3049      0.7173              0.6253              0.5423              0.7088              
IRAS05379-0758      0.4367              0.2461              -0.0086             0.6382              
IRAS05555-1405      -0.9928             -1.6317             -2.7568             0.7626              
IRAS19247+2238      nan                 nan                 nan                 nan                 
IRS5                0.4544              0.4544              0.4544              0.1615              
OphIRS63            0.4273              0.2086              -0.0121             0.5909              
SR24                -inf                -inf                -inf                nan                 
T-Tauri             0.9506              0.9376              0.9237              0.7212              
UYAur               -inf                -inf                -inf                nan                 
V347_Aur            0.6309              0.5687              0.4423              0.7675              
WLY2-42             -0.5635             -0.5898             -0.6377             0.1961              
YLW58               -1.7506             -1.9718             -2.2145             0.3259              
