SourceName,gravity,Envelope_status,indices__spectral_index,indices__corr_spectral_index_lit,spectral_index_SED,spectral_index_corrected_SED,Tbol
DoAr25,3.5183999999999997,no,-1.076,-1.208,-1.345,-1.462,1826.126
DoAr43,3.6524,no,-0.565,-0.936,-0.61,-0.87,1174.736
FP-Tau,3.4013999999999998,no,-1.121,-1.147,-1.265,-1.284,9344.182
GY92-235,3.6310000000000002,no,-0.365,-0.687,-0.091,-0.266,877.374
HK-Tau,3.6227,no,-0.427,-0.582,-0.727,-0.818,1312.437
Haro6-13,3.5462000000000002,no,-0.116,-0.477,-0.022,-0.304,684.522
Haro6-28,3.858,no,-0.923,-1.058,-0.914,-1.011,1922.854
Haro6-33,3.6887,no,-0.075,-0.38,-0.008,-0.236,703.939
IRAS04108+2803E,3.7096,no,0.84,0.84,0.926,0.575,187.263
IRAS04181+2655M,3.7133,no,0.346,0.346,0.294,-0.593,622.756
IRAS04295+2251,3.4131,no,0.478,0.478,0.49,0.087,333.358
IRAS04489+3042,3.7024,no,0.246,-0.444,0.145,-0.299,404.858
IRAS05555-1405,3.2737,no,0.395,0.395,0.382,0.267,970.396
IRAS19247+2238-1,3.4294,no,-0.231,-0.231,-0.218,-0.267,964.981
IRAS19247+2238-2,3.516,no,-0.231,-0.231,-0.218,-0.267,964.981
SR24,3.5712,no,-0.666,-1.018,-0.375,-0.674,837.101
UYAur,3.4202999999999997,no,-0.155,-0.194,-0.217,-0.255,1429.466
WLY2-42,3.4497000000000004,no,0.072,-0.25,-0.285,-0.289,618.309
YLW58,3.1008999999999998,no,-0.761,-0.968,-0.751,-0.899,1298.727
