SourceName,gravity,conc_HCOplus__c_factor_gaussian,spec_HCOplus__Integ_Beam,indices__spectral_index,indices__corr_spectral_index_lit,spectral_index_SED,spectral_index_corrected_SED,Tbol
DoAr25,351.84,0.7364,0.198,-1.076,-1.208,-1.345,-1.462,1826.126
DoAr43,365.24,0.8725,0.074,-0.565,-0.936,-0.61,-0.87,1174.736
FP-Tau,340.14,,0.089,-1.121,-1.147,-1.265,-1.284,9344.182
GY92-235,363.1,0.5143,0.18,-0.365,-0.687,-0.091,-0.266,877.374
HK-Tau,362.27,,0.0,-0.427,-0.582,-0.727,-0.818,1312.437
Haro6-13,354.62,,0.231,-0.116,-0.477,-0.022,-0.304,684.522
Haro6-28,385.8,,0.039,-0.923,-1.058,-0.914,-1.011,1922.854
Haro6-33,368.87,,0.026,-0.075,-0.38,-0.008,-0.236,703.939
IRAS04108+2803E,370.96,,0.316,0.84,0.84,0.926,0.575,187.263
IRAS04181+2655M,371.33,0.2121,0.744,0.346,0.346,0.294,-0.593,622.756
IRAS04295+2251,341.31,,0.025,0.478,0.478,0.49,0.087,333.358
IRAS04489+3042,370.24,-inf,-0.02,0.246,-0.444,0.145,-0.299,404.858
IRAS05555-1405,327.37,0.7537,-0.111,0.395,0.395,0.382,0.267,970.396
IRAS19247+2238-1,342.94,,0.038,-0.231,-0.231,-0.218,-0.267,964.981
IRAS19247+2238-2,351.6,,0.038,-0.231,-0.231,-0.218,-0.267,964.981
SR24,357.12,,0.017,-0.666,-1.018,-0.375,-0.674,837.101
UYAur,342.03,,0.001,-0.155,-0.194,-0.217,-0.255,1429.466
WLY2-42,344.97,0.1272,0.361,0.072,-0.25,-0.285,-0.289,618.309
YLW58,310.09,0.1622,0.153,-0.761,-0.968,-0.751,-0.899,1298.727
