SourceName,gravity,conc_HCOplus__c_factor_gaussian,spec_HCOplus__Integ_Beam
DoAr25,351.84,0.7364,0.198
DoAr43,365.24,0.8725,0.074
Elia2-34,,,
FP-Tau,340.14,,0.089
GSS26,,,
GY92-235,363.1,0.5143,0.18
HK-Tau,362.27,,0.0
Haro6-13,354.62,,0.231
Haro6-28,385.8,,0.039
Haro6-33,368.87,,0.026
IRAS03220+3035,,,0.051
IRAS04108+2803E,370.96,,0.316
IRAS04181+2655M,371.33,0.2121,0.744
IRAS04295+2251,341.31,,0.025
IRAS04489+3042,370.24,-inf,-0.02
IRAS05555-1405,327.37,0.7537,-0.111
IRAS19247+2238-1,342.94,,0.038
IRAS19247+2238-2,351.6,,0.038
SR24,357.12,,0.017
UYAur,342.03,,0.001
VSSG1,,,
WL20E,,,
WL20W,,,
WLY2-42,344.97,0.1272,0.361
YLW58,310.09,0.1622,0.153
