SourceName,gravity,conc_HCOplus__c_factor_gaussian,spec_HCOplus__Integ_Beam,indices__spectral_index,indices__corr_spectral_index_lit,spectral_index_SED,spectral_index_corrected_SED,Tbol
DoAr25,351.84,0.7364,0.198,-1.076,-1.208,,,
DoAr43,365.24,0.8725,0.074,-0.565,-0.936,,,
FP-Tau,340.14,,0.089,-1.121,-1.147,,,
GY92-235,363.1,0.5143,0.18,-0.365,-0.687,,,
HK-Tau,362.27,,0.0,-0.427,-0.582,,,
Haro6-13,354.62,,0.231,-0.116,-0.477,,,
Haro6-28,385.8,,0.039,-0.923,-1.058,,,
Haro6-33,368.87,,0.026,-0.075,-0.38,,,
IRAS04108+2803E,370.96,,0.316,0.84,0.84,,,
IRAS04181+2655M,371.33,0.2121,0.744,0.346,0.346,,,
IRAS04295+2251,341.31,,0.025,0.478,0.478,,,
IRAS04489+3042,370.24,-inf,-0.02,0.246,-0.444,,,
IRAS05555-1405,327.37,0.7537,-0.111,0.395,0.395,,,
IRAS19247+2238-1,342.94,,0.038,-0.231,-0.231,,,
IRAS19247+2238-2,351.6,,0.038,-0.231,-0.231,,,
SR24,357.12,,0.017,-0.666,-1.018,,,
UYAur,342.03,,0.001,-0.155,-0.194,,,
WLY2-42,344.97,0.1272,0.361,0.072,-0.25,,,
YLW58,310.09,0.1622,0.153,-0.761,-0.968,,,
