## SourceMame       c-factor_1sigma     c-factor_3sigma     
DG-Tau              0.4057              -0.1413             
DoAr25              0.1642              0.0231              
EC92                0.6088              0.5817              
Elia32              0.326               0.2944              
Elia33              0.4933              0.4933              
FPTau               -inf                -inf                
GV_Tau              0.6358              0.6188              
GY92-235            0.3307              0.2849              
HK-Tau              nan                 nan                 
Haro6-13            -inf                -inf                
Haro6-28            -inf                nan                 
Haro6-33            -0.3746             -0.9187             
IRAS03220+3035      -0.175              -0.2698             
IRAS03260+3111      0.2969              0.2634              
IRAS03301+3111      0.4446              0.2666              
IRAS04108+2803      0.4376              0.061               
IRAS04113+2758S     0.5036              0.3271              
IRAS04181+2655M     0.2839              0.1968              
IRAS04181+2655S     0.6791              0.6067              
IRAS04295+2251      -inf                nan                 
IRAS04369+2539      -0.0008             -0.3999             
IRAS04489+3042      0.3718              -3.5085             
IRAS04591-0856      0.5644              0.4819              
IRAS05256+3049      0.4873              0.1299              
IRAS05379-0758      -0.0971             nan                 
IRAS05555-1405      -inf                -inf                
IRAS19247+2238      0.4521              0.2358              
IRS5                0.3645              0.3643              
OphIRS63            0.6048              0.5016              
SR24                -0.7405             -8.5944             
T-Tauri             0.8675              0.8228              
UYAur               nan                 nan                 
V347_Aur            0.5392              0.184               
WLY2-42             0.177               0.176              
YLW58               0.0907              0.0907              
