## SourceMame       c-factor_1sigma     c-factor_2sigma     c-factor_3sigma     
DG-Tau              0.4871              0.3944              0.256               
DoAr25              0.1642              0.1131              0.0231              
DoAr43              -32.7168            -35.0692            -38.1327            
EC92                0.613               0.601               0.586              
Elia32              0.326               0.326              0.326              
Elia33              0.4933              0.4933              0.4933              
FPTau               -inf                -inf                -inf                
GV_Tau              0.6358              0.6319              0.6184              
GY92-235            0.3307              0.3015              0.2852              
HK-Tau              nan                 nan                 nan                 
Haro6-13            -inf                -inf                -inf                
Haro6-28            -inf                nan                 nan                 
Haro6-33            -0.3746             -0.7307             -0.9187             
IRAS03220+3035      -0.175              -0.2189             -0.2686             
IRAS03260+3111      0.2969              0.29                0.2622              
IRAS03301+3111      0.4446              0.3688              0.2663              
IRAS04108+2803      0.4376              0.2902              0.061               
IRAS04113+2758S     0.5044              0.4364              0.3309              
IRAS04181+2655M     0.2839              0.2564              0.1968              
IRAS04181+2655S     0.6789              0.6455              0.6045              
IRAS04295+2251      -inf                nan                 nan                 
IRAS04369+2539      -0.0063             -0.188              -0.4243             
IRAS04489+3042      -8.8003             -8.8003             -10.8522            
IRAS04591-0856      0.5641              0.5255              0.4784              
IRAS05256+3049      0.4873              0.345               0.1299              
IRAS05379-0758      -0.0707             -0.4915             -0.8937             
IRAS05555-1405      -inf                -inf                -inf                
IRAS19247+2238      0.4582              0.3719              0.2738              
IRS5                0.3645              0.3645              0.3643              
OphIRS63            0.6057              0.5744              0.5121              
SR24                -0.6414             -4.5675             -8.0521             
T-Tauri             0.8673              0.8489              0.8217              
V347_Aur            0.536               0.3839              0.1481              
WLY2-42             0.177               0.177               0.176              
YLW58               0.0907              0.0907              0.0907              
