## SourceMame            ImageNoise     PeakIm.SNR     LineNoise      Tmb            PeakLineSNR    Velocity       FWHM           Sigma          Integ.Beam.    Integ.FOV.     Molecule       
##               -       (K)            -              (K)            (K)            -              (km/s)         (km/s)         (km/s)         (K * km/s)     (K * km/s)     -              
DG-Tau                   0.2766         4.7            0.1793         0.265          1.5            -2.997         1.204          0.511          -0.049         0.041          HCO+           
DoAr25                   0.0796         4.2            0.0580         0.219          3.8            -7.737         1.476          0.627          0.198          0.063          HCO+           
DoAr43                   0.1592         3.6            0.1058         0.208          2.0            -15.710        0.116          0.049          0.038          0.014          HCO+           
EC92                     0.1822         63.4           0.0836         3.013          36.0           8.616          2.603          1.105          7.914          2.681          HCO+           
Elia32                   0.1303         61.1           0.1296         4.483          34.6           4.174          1.377          0.585          5.856          3.739          HCO+           
Elia33                   0.1303         61.1           0.0890         5.548          62.4           4.515          0.926          0.393          5.538          3.739          HCO+           
FPTau                    0.1179         6.2            0.0704         0.184          2.6            28.675         2.605          1.106          0.165          0.005          HCO+           
GV_Tau                   0.2517         16.5           0.1677         2.223          13.3           6.457          0.804          0.341          2.239          0.683          HCO+           
GY92-235                 0.1004         10.0           0.0554         0.257          4.6            -5.852         0.633          0.269          0.180          0.123          HCO+           
HK-Tau                   0.2376         5.3            0.1883         0.335          1.8            -12.654        3.030          1.287          -0.358         0.040          HCO+           
Haro6-13                 0.2385         3.5            0.1673         0.368          2.2            9.359          0.266          0.113          0.092          0.058          HCO+           
Haro6-28                 0.2335         10.3           0.1475         0.296          2.0            -23.294        0.343          0.146          0.078          0.043          HCO+           
IRAS03220+3035           0.1123         11.5           0.0841         0.134          1.6            9.707          0.788          0.335          0.051          0.061          HCO+           
IRAS03260+3111           0.1295         54.1           0.0628         2.433          38.7           13.623         1.846          0.784          4.757          1.590          HCO+           
IRAS03301+3111           0.1535         14.5           0.0910         0.567          6.2            13.689         0.549          0.233          0.339          0.048          0.080          0.048          HCO+           
IRAS04108+2803           0.1916         4.6            0.1540         0.439          2.9            6.931          1.039          0.441          0.316          0.086          HCO+           
IRAS04113+2758S          0.1156         5.2            0.0698         0.251          3.6            15.623         1.449          0.615          0.360          0.045          HCO+           
IRAS04181+2655M          0.2703         9.0            0.1881         1.269          6.8            6.929          0.485          0.206          0.739          0.533          HCO+           
IRAS04181+2655S          0.3020         8.1            0.2210         1.407          6.4            7.144          1.262          0.536          1.436          0.446          HCO+           
IRAS04295+2251           0.2543         4.2            0.1833         0.224          1.2            -13.947        0.081          0.035          0.000          0.055          HCO+           
IRAS04369+2539           0.1049         11.3           0.0708         0.257          3.6            16.397         1.913          0.812          0.352          0.111          HCO+           
IRAS04591-0856           0.1063         16.1           0.0750         1.479          19.7           22.551         0.692          0.294          1.023          0.163          HCO+           
IRAS05256+3049           0.1213         10.8           0.0865         0.882          10.2           -19.917        1.548          0.657          1.361          0.083          HCO+           
IRAS05379-0758           0.1910         29.6           0.0703         0.205          2.9            6.791          2.355          1.000          0.042          -0.051         HCO+           
IRAS05555-1405           0.2037         25.3           0.1529         0.160          1.1            23.738         0.790          0.336          -0.111         1.228          HCO+           
IRAS19247+2238           0.1215         9.4            0.0554         0.160          2.9            10.574         0.319          0.136          0.057          0.034          HCO+           
IRS5                     0.2155         65.7           0.1218         7.475          61.4           -1.818         2.331          0.990          15.841         9.872          HCO+           
OphIRS63                 0.2739         5.4            0.2051         0.707          3.5            2.817          1.046          0.444          0.680          0.135          HCO+           
SR24                     0.1578         21.6           0.0636         0.127          2.0            1.519          1.936          0.822          0.040          0.028          HCO+           
T-Tauri                  0.0884         101.8          0.0680         7.628          112.2          8.228          2.835          1.204          21.729         0.422          HCO+           
V347_Aur                 0.0988         11.5           0.0693         0.521          7.5            7.972          0.904          0.384          0.524          0.173          HCO+           
WLY2-42                  0.1036         21.8           0.0658         0.798          12.1           4.007          0.428          0.182          0.361          0.710          HCO+           
YLW58                    0.0932         24.6           0.0617         0.189          3.1            -6.284         0.711          0.302          0.153          0.271          HCO+           
Haro6-33                 0.2379         3.1            0.1805         0.133          0.7            -23.794        0.115          0.049          0.026          0.013          HCO+           
IRAS04489+3042           0.1809         4.3            0.1119         0.064          0.6            -23.879        0.432          0.183          -0.020         -0.034         HCO+           
UYAur                    0.1021         12.7           0.0622         0.007          0.1            1.475          0.101          0.043          0.001          0.012          HCO+           
