## SourceMame            ImageNoise     PeakIm.SNR     LineNoise      Tmb            PeakLineSNR    Velocity       FWHM           Sigma          Integ.Beam.    Integ.FOV.     Molecule       
##               -       (K)            -              (K)            (K)            -              (km/s)         (km/s)         (km/s)         (K * km/s)     (K * km/s)     -              
DG-Tau                   0.2766         4.7            0.1800         0.265          1.5            -2.997         1.204          0.511          -0.113         0.059          HCO+           
DoAr25                   0.0796         4.3            0.0579         0.219          3.8            -7.716         1.313          0.558          0.257          0.029          HCO+           
DoAr43                   0.1592         11.1           0.1053         0.208          2.0            -15.710        0.116          0.049          0.038          0.014          HCO+           
Elia32                   0.1303         61.1           0.1294         4.483          34.6           4.174          1.377          0.585          5.836          3.776          HCO+           
Elia33                   0.1303         61.1           0.0888         5.548          62.4           4.515          0.926          0.393          5.953          3.776          HCO+           
FPTau                    0.1179         6.2            0.0725         0.184          2.5            28.675         2.605          1.106          0.220          0.021          HCO+           
GV_Tau                   0.2517         16.5           0.1661         2.223          13.4           6.457          0.804          0.341          2.774          0.694          HCO+           
GY92-235                 0.1004         10.0           0.0555         0.257          4.6            -5.852         0.633          0.269          0.215          0.094          HCO+           
IRAS03220+3035           0.1123         11.5           0.0845         0.134          1.6            9.707          0.788          0.335          0.020          0.071          HCO+           
IRAS03260+3111           0.1295         54.1           0.0626         2.433          38.8           13.623         1.846          0.784          4.760          1.707          HCO+           
IRAS03301+3111           0.1535         14.5           0.0911         0.567          6.2            13.687         0.580          0.246          0.377          0.093          HCO+           
IRAS04113+2758S          0.1156         5.2            0.0696         0.251          3.6            15.634         1.202          0.511          0.444          0.062          HCO+           
IRAS04181+2655M          0.2703         9.0            0.1878         1.269          6.8            6.929          0.485          0.206          0.790          0.540          HCO+           
IRAS04181+2655S          0.3020         8.1            0.2222         1.407          6.3            7.144          1.262          0.536          1.230          0.461          HCO+           
IRAS04369+2539           0.1049         19.5           0.0698         0.257          3.7            16.340         2.587          1.098          0.428          0.118          HCO+           
IRAS04591-0856           0.1063         16.1           0.0734         1.479          20.1           22.551         0.692          0.294          1.063          0.161          HCO+           
IRAS05256+3049           0.1213         10.8           0.0848         0.882          10.4           -19.917        1.521          0.646          1.548          0.080          HCO+           
IRAS05379-0758           0.1910         29.6           0.0701         0.205          2.9            23.0           2.355          1.000          -0.064         -0.041         HCO+           
IRAS05555-1405           0.1606         13.5           0.1049         0.263          2.5            19.822         0.626          0.266          0.045          0.176          HCO+           
IRAS19247+2238           0.1215         17.5           0.0551         0.160          2.9            10.574         0.319          0.136          0.053          0.004          HCO+           
IRS5                     0.2155         65.7           0.1235         7.475          60.5           -1.818         2.331          0.990          16.177         10.027         HCO+           
SR24                     0.1578         21.6           0.0634         0.127          2.0            1.519          1.936          0.822          0.061          0.032          HCO+           
V347_Aur                 0.0988         11.5           0.0690         0.521          7.5            7.972          0.904          0.384          0.544          0.170          HCO+           
WLY2-42                  0.1036         21.8           0.0657         0.798          12.2           4.007          0.428          0.182          0.419          0.757          HCO+           
YLW58                    0.0932         24.6           0.0618         0.189          3.1            -6.284         0.711          0.302          0.140          0.274          HCO+           
OphIRS63                 0.2739         5.4            0.2064         0.707          3.4            2.817          1.046          0.444          0.645          0.109          HCO+           
Haro6-13                 0.2385         4.3            0.1673         0.388          2.3            9.359          0.266          0.113          0.173          -0.011         HCO+           
HK-Tau                   0.2376         5.3            0.1911         0.335          1.8            -12.654        3.030          1.287          -0.322         0.046          HCO+           
IRAS04295+2251           0.2543         4.2            0.1825         0.224          1.2            -13.947        0.081          0.035          0.034          0.055          HCO+           
IRAS04108+2803           0.1916         4.6            0.1549         0.439          2.8            6.916          0.968          0.411          0.555          0.084          HCO+           
Haro6-28                 0.2335         10.3           0.1472         0.296          2.0            -23.294        0.343          0.146          0.035          0.047          HCO+           
T-Tauri                  0.0884         101.8          0.0672         7.628          113.5          8.228          2.835          1.204          23.892         0.477          HCO+           
EC92                     0.1822         63.4           0.0821         3.013          36.7           8.616          2.603          1.105          8.238          2.792          HCO+           
