## SourceMame            ImageNoise     PeakIm.SNR     LineNoise      Tmb            PeakLineSNR    Velocity       FWHM           Sigma          Integ.Beam.    Integ.FOV.     Molecule       
##               -       (K)            -              (K)            (K)            -              (km/s)         (km/s)         (km/s)         (K * km/s)     (K * km/s)     -              
EC92                     0.2783         32.1           0.1796         3.637          20.3           7.976          2.645          1.123          9.892          4.147          C18O           
GY92-235                 0.2833         15.3           0.1692         1.959          11.6           -6.157         0.970          0.412          1.977          1.617          C18O           
DG-Tau                   0.2933         8.8            0.2947         1.304          4.4            6.838          3.778          1.604          2.214          0.373          C18O           
DoAr25                   0.1627         31.3           0.0897         0.567          6.3            -7.348         1.038          0.441          0.531          0.610          C18O           
Elia32                   0.4304         17.3           0.2432         4.604          18.9           3.765          1.872          0.795          6.848          5.261          C18O           
Elia33                   0.4252         17.0           0.2132         4.795          22.5           3.949          2.446          1.039          9.094          5.088          C18O           
FPTau                    0.0000         0.0            0.0857         0.000          0.0            0.000          0.000          0.000          0.000          0.000          C18O           
GV_Tau                   0.2922         14.9           0.2276         3.399          14.9           6.329          0.652          0.277          2.398          1.232          C18O           
HK-Tau                   0.3454         5.0            0.2764         0.623          2.2            7.112          1.260          0.535          0.350          0.143          C18O           
Haro6-13                 0.3223         4.1            0.2473         0.342          1.4            5.603          0.125          0.053          0.048          0.218          C18O           
Haro6-28                 0.3012         4.9            0.2121         0.279          1.3            -14.673        1.052          0.447          0.225          0.074          C18O           
Haro6-33                 0.2592         5.2            0.1885         0.708          3.8            5.418          0.268          0.114          0.242          0.139          C18O           
IRAS03220+3035           0.0668         25.7           0.0398         0.340          8.6            9.796          0.997          0.423          0.281          0.530          C18O           
IRAS03260+3111           0.2847         49.6           0.1003         3.949          39.4           13.875         1.259          0.535          5.135          5.299          C18O           
IRAS03301+3111           0.3195         12.8           0.1273         1.324          10.4           13.584         0.622          0.264          0.840          0.391          C18O           
IRAS04108+2803           0.3627         6.5            0.2652         0.918          3.5            6.773          0.765          0.325          0.830          0.515          C18O           
IRAS04113+2758S          0.1656         7.5            0.0882         0.630          7.1            15.466         0.625          0.265          0.432          0.245          C18O           
IRAS04181+2655M          0.2535         9.5            0.1647         1.472          8.9            6.832          0.474          0.201          0.833          0.571          C18O           
IRAS04181+2655S          0.2483         9.8            0.1711         2.003          11.7           6.653          0.441          0.187          1.013          0.468          C18O           
IRAS04295+2251           0.6568         4.8            0.4909         0.943          1.9            -1.080         0.509          0.216          -0.065         0.123          C18O           
IRAS04369+2539           0.2669         6.9            0.1580         0.610          3.9            16.364         0.636          0.270          0.444          0.371          C18O           
IRAS04489+3042           0.1887         19.8           0.0624         0.493          7.9            15.294         0.403          0.171          0.196          -0.100         C18O           
IRAS04591-0856           0.2581         8.4            0.1597         1.767          11.1           22.673         0.563          0.239          1.074          0.383          C18O           
IRAS05256+3049           0.2185         11.1           0.1154         0.799          6.9            -20.197        0.819          0.348          0.594          0.111          C18O           
IRAS05379-0758           0.3741         8.0            0.2141         0.573          2.7            22.582         2.102          0.893          0.582          0.410          C18O           
IRAS05555-1405           0.2272         4.7            0.1572         0.191          1.2            29.382         0.579          0.246          -0.131         0.161          C18O           
IRAS19247+2238           0.1729         30.8           0.0601         0.406          6.8            -23.385        0.678          0.288          -0.048         0.182          C18O           
IRS5                     0.4067         24.7           0.2515         8.436          33.5           -1.733         1.149          0.488          10.484         7.201          C18O           
OphIRS63                 0.4258         8.7            0.2892         3.414          11.8           2.755          0.608          0.258          2.086          0.722          C18O           
SR24                     0.2875         31.6           0.0893         0.342          3.8            -6.187         4.060          1.724          0.548          0.388          C18O           
T-Tauri                  0.0919         49.5           0.0580         2.671          46.0           8.151          1.718          0.730          5.141          0.533          C18O           
UYAur                    0.1737         16.6           nan            0.281          nan            52.285         1.968          0.836          0.195          -0.008         C18O           
V347_Aur                 0.3017         9.5            0.1068         0.748          7.0            7.910          0.384          0.163          0.340          0.158          C18O           
WLY2-42                  0.4956         13.2           0.2862         4.069          14.2           3.837          1.376          0.584          4.955          5.339          C18O           
YLW58                    0.1240         31.8           0.0701         2.284          32.6           -6.413         0.690          0.293          1.677          1.822          C18O           
