## Source name           Image Noise    Peak Im. SNR   Line Noise     Tmb            Peak Line SNR  Velocity       FWHM           Sigma          Integ. Int .   Molecule       
##                       (K)                           (K)            (K)                           (km/s)         (km/s)         (km/s)         (K * km/s)                    
DG-Tau                   0.0840         12.4           0.0442         0.084          1.9            -28.913        0.116          0.049          0.012          HCO+           
DoAr25                   0.0703         4.2            0.0455         0.177          3.9            -7.422         0.720          0.306          0.171          HCO+           
Elia32                   0.1152         61.1           0.1073         3.995          37.2           4.177          1.363          0.579          5.177          HCO+           
Elia33                   0.1152         61.1           0.0676         4.924          72.8           4.507          0.913          0.388          5.222          HCO+           
GV_Tau                   0.2225         16.7           0.1222         1.858          15.2           6.514          0.752          0.319          2.000          HCO+           
GY92-235                 0.0886         10.1           0.0434         0.282          6.5            -5.830         0.642          0.273          0.195          HCO+           
IRAS03220+3035           0.0992         11.6           0.0622         0.140          2.3            9.679          0.946          0.402          0.105          HCO+           
IRAS03260+3111           0.1144         54.4           0.0511         1.974          38.6           13.644         1.741          0.739          3.726          HCO+           
IRAS03301+3111           0.1356         14.8           0.1081         0.203          1.9            13.581         0.418          0.178          0.141          HCO+           
IRAS04113+2758S          0.1022         6.7            0.0572         0.218          3.8            15.484         3.993          1.696          0.282          HCO+           
IRAS04181+2655M          0.2390         9.0            0.1444         1.083          7.5            6.926          0.496          0.211          0.659          HCO+           
IRAS04181+2655S          0.2671         8.2            0.1553         1.254          8.1            7.124          1.327          0.564          1.153          HCO+           
IRAS04369+2539           0.0928         11.3           0.0703         0.181          2.6            16.083         0.904          0.384          0.168          HCO+           
IRAS04591-0856           0.0940         16.0           0.0558         1.210          21.7           22.553         0.659          0.280          0.884          HCO+           
IRAS05256+3049           0.1072         11.2           0.0624         0.461          7.4            -19.966        1.690          0.718          1.011          HCO+           
IRAS05379-0758           0.1688         19.4           0.0643         0.067          1.0            6.473          0.118          0.050          0.013          HCO+           
IRAS63                   0.2422         5.6            0.1552         0.650          4.2            2.802          0.943          0.400          0.558          HCO+           
IRS5                     0.1904         65.6           0.0927         6.357          68.6           -1.815         2.258          0.959          13.906         HCO+           
V347_Aur                 0.0873         11.6           0.0853         0.467          5.5            7.888          0.657          0.279          0.259          HCO+           
WLY2-42                  0.0916         21.9           0.0583         0.994          17.1           4.024          0.479          0.204          0.603          HCO+           
YLW58                    0.0824         24.5           0.0474         0.138          2.9            -6.238         0.720          0.306          0.110          HCO+           
