## Source name           Image Noise    Peak Im. SNR   Line Noise     Tmb            Peak Line SNR  Velocity       FWHM           Sigma          Integ. Int .   Molecule       
##                       (K)                           (K)            (K)                           (km/s)         (km/s)         (km/s)         (K * km/s)                    
DG-Tau                   0.0840         22.0           0.0431         0.143          3.3            12.248         5.409          2.297          0.190          HCO+           
DoAr25                   0.0703         4.4            0.0454         0.177          3.9            -7.603         1.385          0.588          0.225          HCO+           
DoAr43                   0.1407         15.8           0.0818         0.218          2.7            -8.303         1.421          0.604          0.149          HCO+           
Elia32                   0.1152         61.1           0.1073         3.995          37.2           4.178          1.358          0.577          5.177          HCO+           
Elia33                   0.1152         61.1           0.0676         4.924          72.8           4.506          0.929          0.395          5.222          HCO+           
FPTau                    0.1043         6.4            0.0643         0.182          2.8            30.309         3.177          1.349          0.163          HCO+           
GV_Tau                   0.2225         16.7           0.1219         1.858          15.2           6.521          0.869          0.369          2.120          HCO+           
GY92-235                 0.0886         10.1           0.0434         0.282          6.5            -5.827         0.699          0.297          0.204          HCO+           
IRAS03220+3035           0.0992         4.1            0.0611         0.167          2.7            -21.895        0.120          0.051          0.023          HCO+           
IRAS03260+3111           0.1144         54.4           0.0511         1.974          38.6           13.644         1.748          0.742          3.726          HCO+           
IRAS03301+3111           0.1356         19.5           0.1096         0.316          2.9            -27.040        1.016          0.431          0.311          HCO+           
IRAS04113+2758S          0.1022         5.4            0.0565         0.218          3.9            15.582         1.884          0.800          0.291          HCO+           
IRAS04181+2655M          0.2390         9.0            0.1444         1.083          7.5            6.926          0.505          0.215          0.659          HCO+           
IRAS04181+2655S          0.2671         8.2            0.1549         1.254          8.1            7.137          1.233          0.524          1.201          HCO+           
IRAS04369+2539           0.0928         4.6            0.0721         0.224          3.1            -1.611         0.589          0.250          0.039          HCO+           
IRAS04489+3042           0.1599         6.9            0.0952         0.266          2.8            -25.714        1.547          0.657          -0.035         HCO+           
IRAS04591-0856           0.0940         16.0           0.0558         1.210          21.7           22.553         0.692          0.294          0.880          HCO+           
IRAS05256+3049           0.1072         11.2           0.0627         0.461          7.3            -19.951        1.872          0.795          1.067          HCO+           
IRAS05379-0758           0.1688         19.6           0.0535         0.469          8.8            23.022         0.957          0.406          0.422          HCO+           
IRAS05555-1405           0.1420         12.2           0.0794         0.300          3.8            8.024          0.304          0.129          0.133          HCO+           
IRAS19247+2238           0.1074         17.4           0.0426         0.120          2.8            10.614         1.451          0.616          0.072          HCO+           
IRAS63                   0.2422         5.6            0.1552         0.650          4.2            2.798          0.922          0.391          0.535          HCO+           
IRS5                     0.1904         65.6           0.0927         6.357          68.6           -1.815         2.264          0.961          13.913         HCO+           
SR24                     0.1394         26.7           0.0466         0.154          3.3            -6.224         0.146          0.062          0.059          HCO+           
UYAur                    0.0903         6.8            0.0619         0.223          3.6            23.832         0.455          0.193          0.095          HCO+           
V347_Aur                 0.0873         11.6           0.0856         0.467          5.5            7.883          0.603          0.256          0.300          HCO+           
WLY2-42                  0.0916         21.9           0.0583         0.994          17.1           4.024          0.495          0.210          0.621          HCO+           
YLW58                    0.0824         24.5           0.0474         0.138          2.9            -6.239         0.759          0.322          0.105          HCO+           
