source               distance_pc          molecule             radius_au            theta_arcsec         n_pix                center_x_pix         center_y_pix         X_c18o               mu_gas               Mgas_Msun_Tex10K     Mgas_Msun_Tex20K     Mgas_Msun_Tex30K     Mgas_Msun_Tex40K     status              
-------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
T-Tauri              130.0                C18O                 6000.0               46.15384615384615    2027                 55.98118538399234    68.25371199209616    NA                   NA                   0.6843386683795587   0.4098241974540751   0.4842637408045054   0.6225640246288885   NA                  
GV_Tau               130.0                C18O                 6000.0               46.15384615384615    1646                 29.632037842671288   27.202569878438457   NA                   NA                   0.49229182185916776  0.29481470232329243  0.3483641802464406   0.44785307636385785  NA                  
IRAS04591-0856       400.0                C18O                 6000.0               15.0                 175                  28.449322730939123   29.864521407948413   NA                   NA                   0.29248214309663323  0.17515634451587583  0.20697134807518502  0.26608003982807166  NA                  
IRAS03260+3111       300.0                C18O                 6000.0               20.0                 314                  33.5584530212685     32.90091090030783    NA                   NA                   1.875277731813535    1.1230319532634152   1.3270169455801224   1.7059980766237242   NA                  
IRAS04181+2655M      130.0                C18O                 6000.0               46.15384615384615    1627                 27.251154064475756   25.773379441490007   NA                   NA                   0.184938360453605    0.11075249529715903  0.1308693288713041   0.16824413892158716  NA                  
IRAS04181+2655S      130.0                C18O                 6000.0               46.15384615384615    1640                 29.38635232346007    28.39686251265225    NA                   NA                   0.15723035326293092  0.09415923185223611  0.11126210246078087  0.14303730892918232  NA                  
V347_Aur             200.0                C18O                 6000.0               30.0                 708                  33.259004051377666   32.76366016148515    NA                   NA                   0.062087192628836455 0.037181639832716364 0.04393522907259458  0.05648263689737756  NA                  
Elia32               130.0                C18O                 6000.0               NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   FAIL                
Elia33               130.0                C18O                 6000.0               NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   FAIL                
IRS5                 130.0                C18O                 6000.0               46.15384615384615    1509                 28.793780225167538   29.623802554239397   NA                   NA                   2.3301343946500905   1.395428173756161    1.6488906014947613   2.119795232519248    NA                  
EC92                 420.0                C18O                 6000.0               14.285714285714286   194                  71.14683044323507    40.5375447810213     NA                   NA                   3.130712025865217    1.8748634305557226   2.2154093975386226   2.8481054320544215   NA                  
YLW58                130.0                C18O                 6000.0               46.15384615384615    1514                 28.99464088590554    29.530390887872414   NA                   NA                   0.5366119532918012   0.3213563302258152   0.3797267696078392   0.4881724688981375   NA                  
WLY2-42              130.0                C18O                 6000.0               NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   NA                   FAIL                
OphIRS63             130.0                C18O                 6000.0               46.15384615384615    1556                 25.78891372646711    26.250506693825727   NA                   NA                   0.27609992054464044  0.1653456593681519   0.19537867219365812  0.2511766259548137   NA                  
IRAS04113+2758S      130.0                C18O                 6000.0               46.15384615384615    1672                 32.79650622038192    30.612610253198678   NA                   NA                   0.06141392835288688  0.03677844766440168  0.043458801987751636 0.055870147589610494 NA                  
IRAS03301+3111       300.0                C18O                 6000.0               20.0                 315                  33.611657387759145   33.154240938254375   NA                   NA                   0.17559217002035268  0.10515542009076986  0.1242556135420283   0.1597416207972622   NA                  
GY92-235             130.0                C18O                 6000.0               46.15384615384615    1510                 28.762084968174083   29.621905121391684   NA                   NA                   0.5143178065409149   0.30800522028234223  0.36395059415191594  0.46789079497232494  NA                  
IRAS05379-0758       400.0                C18O                 6000.0               15.0                 176                  30.650437660754257   33.32797452433653    NA                   NA                   0.05976737000788141  0.03579238698497079  0.04229363546940582  0.05437222260390104  NA                  
DG-Tau               130.0                C18O                 6000.0               46.15384615384615    856                  16.743961808160712   52.70312427989326    NA                   NA                   0.06674296708902794  0.039969804698795325 0.04722982991953067  0.060718138732404045 NA                  
DoAr25               130.0                C18O                 6000.0               46.15384615384615    1510                 28.93870644971378    29.601324453132793   NA                   NA                   0.15605552088082197  0.0934556697704953   0.11043074694856712  0.14196852762269557  NA                  
IRAS04489+3042       130.0                C18O                 6000.0               46.15384615384615    1509                 33.242932847121736   28.419311529031837   NA                   NA                   0.008412719425727869 0.005038055200386534 0.005953156189593156 0.007653310715521180 NA                  
IRAS04108+2803       130.0                C18O                 6000.0               46.15384615384615    1640                 29.734833869435555   28.144628913509912   NA                   NA                   0.06845682095467757  0.04099616608606955  0.04844261727544176  0.06227728453188243  NA                  
IRAS19247+2238       300.0                C18O                 6000.0               20.0                 313                  37.632291147204846   36.49742735349764    NA                   NA                   0.05084283117922423  0.03044782276245986  0.0359782966498792   0.046253293968344246 NA                  
Haro6-33             130.0                C18O                 6000.0               46.15384615384615    1638                 29.673039401453867   28.114651347885587   NA                   NA                   0.010194092289739248 0.006104851127743103 0.007213722524294745 0.009273880633350978 NA                  
SR24                 130.0                C18O                 6000.0               46.15384615384615    1672                 38.947260940865874   34.232344990505496   NA                   NA                   0.03402335283869605  0.020375281883211988 0.024076202152061067 0.030952094998202263 NA                  
Haro6-13             130.0                C18O                 6000.0               46.15384615384615    1662                 28.019524208475442   27.22097011384111    NA                   NA                   0.01724225674640661  0.010325726661223802 0.01220126837447024  0.01568581354484242  NA                  
