source               distance_pc          molecule             radius_au            theta_arcsec         n_pix                center_x_pix         center_y_pix         X_c18o               mu_gas               Mgas_Msun_Tex10K     Mgas_Msun_Tex20K     Mgas_Msun_Tex30K     Mgas_Msun_Tex40K     status
-------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
T-Tauri              130.0                C18O                 3000.0               23.076923076923077   505                  55.98118538399234    68.25371199209616    NA                   NA                   0.28773034263645153  0.17231067335912664  0.203608795624579    0.2617571801747818   NA
GV_Tau               130.0                C18O                 3000.0               23.076923076923077   418                  29.632037842671288   27.202569878438457   NA                   NA                   0.18431134604975147  0.11037700040446226  0.13042562993278378  0.16767372455104212  NA
IRAS04591-0856       400.0                C18O                 3000.0               7.5                  44                   28.449322730939123   29.864521407948413   NA                   NA                   0.08415865676570482  0.05039939369418829  0.059553825948409564 0.07656172957094798  NA
IRAS03260+3111       300.0                C18O                 3000.0               10.0                 79                   33.5584530212685     32.90091090030783    NA                   NA                   0.43183733185928513  0.2586108255127601   0.3055843128671882   0.3928557594793192   NA
IRAS04181+2655M      130.0                C18O                 3000.0               23.076923076923077   418                  27.251154064475756   25.773379441490007   NA                   NA                   0.060310045325506496 0.03611737443168408  0.04267765290331421  0.054865911102619715 NA
IRAS04181+2655S      130.0                C18O                 3000.0               23.076923076923077   419                  29.38635232346007    28.39686251265225    NA                   NA                   0.06920269154814235  0.04144283939490814  0.048970423317152956 0.06295582604937304  NA
V347_Aur             200.0                C18O                 3000.0               15.0                 178                  33.259004051377666   32.76366016148515    NA                   NA                   0.02240490122971384  0.013417436555568991 0.015854549484319004 0.020382430696210575 NA
Elia32               130.0                C18O                 3000.0               23.076923076923077   505                  58.0                 56.0                 NA                   NA                   0.5535781452676838   0.33151673227767087  0.39173268418359036  0.5036071377940845   NA
Elia33               130.0                C18O                 3000.0               23.076923076923077   505                  58.0                 56.0                 NA                   NA                   0.4350774035917427   0.26055118027978247  0.30787710929991086  0.3958033528143874   NA
IRS5                 130.0                C18O                 3000.0               23.076923076923077   418                  28.793780225167538   29.623802554239397   NA                   NA                   0.8173557751914455   0.48948304411245114  0.5783916407933303   0.7435737953574493   NA
EC92                 420.0                C18O                 3000.0               7.142857142857143    45                   78.0                 50.0                 NA                   NA                   0.7325481814360942   0.43869502692923823  0.5183786026614315   0.6664217077625108   NA
YLW58                130.0                C18O                 3000.0               23.076923076923077   415                  28.99464088590554    29.530390887872414   NA                   NA                   0.14309644176100772  0.08569497401352821  0.10126041590940081  0.13017925306450118  NA
WLY2-42              130.0                C18O                 3000.0               23.076923076923077   505                  46.0                 48.0                 NA                   NA                   0.38874033589844953  0.23280168656091163  0.27508726009819945  0.3536490910642129   NA
OphIRS63             130.0                C18O                 3000.0               23.076923076923077   418                  25.78891372646711    26.250506693825727   NA                   NA                   0.10899572674594668  0.0652733628882216   0.07712946937615202  0.09915677930487969  NA
IRAS04113+2758S      130.0                C18O                 3000.0               23.076923076923077   418                  32.79650622038192    30.612610253198678   NA                   NA                   0.023682198606947532 0.01418236099535625  0.016758413074964302 0.021544427573723685 NA
IRAS03301+3111       300.0                C18O                 3000.0               10.0                 79                   33.611657387759145   33.154240938254375   NA                   NA                   0.058498073209732916 0.03503225378533152  0.041395433388968    0.05321750410030539  NA
GY92-235             130.0                C18O                 3000.0               23.076923076923077   416                  28.762084968174083   29.621905121391684   NA                   NA                   0.18502176599560144  0.11080244367928516  0.13092834976495993  0.16832001551939013  NA
IRAS05379-0758       400.0                C18O                 3000.0               7.5                  47                   30.650437660754257   33.32797452433653    NA                   NA                   0.008961431987746647 0.005366658121356641 0.00634144580435194  0.008152491481944529 NA
DG-Tau               130.0                C18O                 3000.0               23.076923076923077   171                  16.743961808160712   52.70312427989326    NA                   NA                   0.0189311198665555   0.011337122048925199 0.013396371340384267 0.017222224491219094 NA
DoAr25               130.0                C18O                 3000.0               23.076923076923077   416                  28.93870644971378    29.601324453132793   NA                   NA                   0.04183967009327986  0.025056174683689498 0.029607321768584285 0.03806284023683164  NA
IRAS04489+3042       130.0                C18O                 3000.0               23.076923076923077   416                  33.242932847121736   28.419311529031837   NA                   NA                   0.005793100128056715 0.003469265614310067 0.004099415199656431 0.005270162125050024 NA
IRAS04108+2803       130.0                C18O                 3000.0               23.076923076923077   421                  29.734833869435555   28.144628913509912   NA                   NA                   0.022213648326706983 0.01330290252277622  0.015719211748006185 0.020208442022883306 NA
IRAS19247+2238       300.0                C18O                 3000.0               10.0                 78                   37.632291147204846   36.49742735349764    NA                   NA                   0.011666433794044955 0.006986580019096271 0.008255606663773703 0.010613315177827602 NA
Haro6-33             130.0                C18O                 3000.0               23.076923076923077   420                  29.673039401453867   28.114651347885587   NA                   NA                   0.002575816363712601 0.001542557687916737 0.001822744388930370 0.002343299708454361 NA
SR24                 130.0                C18O                 3000.0               23.076923076923077   421                  38.947260940865874   34.232344990505496   NA                   NA                   0.014406827657064643 0.008627696863011363 0.010194812271614034 0.013106336120907785 NA
Haro6-13             130.0                C18O                 3000.0               23.076923076923077   421                  28.019524208475442   27.22097011384111    NA                   NA                   0.003287062977500603 0.001968496022481119 0.002326049202383468 0.002990342722159874 NA
