source               distance_pc          molecule             radius_au            theta_arcsec         sum_Kkms_arcsec2     mean_Kkms            n_pix                center_x_pix         center_y_pix         status
-------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
T-Tauri              130.0                C18O                 3000.0               23.076923076923077   5960.8753759519905   3.5673137623266125   505                  55.98118538399234    68.25371199209616    NA
GV_Tau               130.0                C18O                 3000.0               23.076923076923077   3818.356291900322    2.283705916203275    418                  29.632037842671288   27.202569878438457   NA
IRAS04591-0856       400.0                C18O                 3000.0               7.5                  184.15770598852222   1.0463506021963838   44                   28.449322730939123   29.864521407948413   NA
IRAS03260+3111       300.0                C18O                 3000.0               10.0                 1679.9206103049146   5.3162044629151275   79                   33.5584530212685     32.90091090030783    NA
IRAS04181+2655M      130.0                C18O                 3000.0               23.076923076923077   1249.4360546381126   0.7472703676068645   418                  27.251154064475756   25.773379441490007   NA
IRAS04181+2655S      130.0                C18O                 3000.0               23.076923076923077   1433.663951528842    0.8554080856356879   419                  29.38635232346007    28.39686251265225    NA
V347_Aur             200.0                C18O                 3000.0               15.0                 196.10746520588032   0.2754318331577626   178                  33.259004051377666   32.76366016148515    NA
Elia32               130.0                C18O                 3000.0               23.076923076923077   11072.950257276825   6.626658896767763    505                  58.0                 56.0                 NA
Elia33               130.0                C18O                 3000.0               23.076923076923077   8702.638442684485    5.208134699327398    505                  58.0                 56.0                 NA
IRS5                 130.0                C18O                 3000.0               23.076923076923077   16933.062634575275   10.12742980527595    418                  28.793780225167538   29.623802554239397   NA
EC92                 420.0                C18O                 3000.0               7.142857142857143    1403.8112906428826   9.427984560006081    45                   78.0                 50.0                 NA
YLW58                130.0                C18O                 3000.0               23.076923076923077   2964.5120089308166   1.7858506077909702   415                  28.99464088590554    29.530390887872414   NA
WLY2-42              130.0                C18O                 3000.0               23.076923076923077   7775.780961004461    4.653452502741392    505                  46.0                 48.0                 NA
OphIRS63             130.0                C18O                 3000.0               23.076923076923077   2258.0515412127274   1.350509295028493    418                  25.78891372646711    26.250506693825727   NA
IRAS04113+2758S      130.0                C18O                 3000.0               23.076923076923077   490.6212992034793    0.2934337913958051   418                  32.79650622038192    30.612610253198678   NA
IRAS03301+3111       300.0                C18O                 3000.0               10.0                 227.5674463461585    0.720150146667484    79                   33.611657387759145   33.154240938254375   NA
GY92-235             130.0                C18O                 3000.0               23.076923076923077   3833.0739776438545   2.3037762781618984   416                  28.762084968174083   29.621905121391684   NA
IRAS05379-0758       400.0                C18O                 3000.0               7.5                  19.60959003694674    0.10430632998342339  47                   30.650437660754257   33.32797452433653    NA
DG-Tau               130.0                C18O                 3000.0               23.076923076923077   392.1937645426839    0.5733826966980254   171                  16.743961808160712   52.70312427989326    NA
DoAr25               130.0                C18O                 3000.0               23.076923076923077   866.7874820282894    0.5209059387087329   416                  28.93870644971378    29.601324453132793   NA
IRAS04489+3042       130.0                C18O                 3000.0               23.076923076923077   120.01496813768044   0.07212437989007349  416                  33.242932847121736   28.419311529031837   NA
IRAS04108+2803       130.0                C18O                 3000.0               23.076923076923077   460.1975172567356    0.27327643542339697  421                  29.734833869435555   28.144628913509912   NA
IRAS19247+2238       300.0                C18O                 3000.0               10.0                 45.38441013191545    0.1454628529869533   78                   37.632291147204846   36.49742735349764    NA
Haro6-33             130.0                C18O                 3000.0               23.076923076923077   53.3628820469193     0.031763620265908545 420                  29.673039401453867   28.114651347885587   NA
SR24                 130.0                C18O                 3000.0               23.076923076923077   298.46453953967267   0.17723547478606433  421                  38.947260940865874   34.232344990505496   NA
Haro6-13             130.0                C18O                 3000.0               23.076923076923077   68.09769377205933    0.040438060434811456 421                  28.019524208475442   27.22097011384111    NA
