## SourceMame       c-factor_1sigma     c-factor_3sigma
DG-Tau              0.2318              nan
DoAr25              0.196               -0.3135
DoAr43              -1.4002             -2.9416
Elia32              0.317               0.3034
Elia33              0.4456              0.4352
GV_Tau              0.8009              0.7457
GY92-235            0.1554              -0.0781
IRAS03220+3035      -inf                -inf
IRAS03260+3111      0.7605              0.7281
IRAS03301+3111      0.4209              0.2279
IRAS04113+2758S     0.4525              0.1009
IRAS04181+2655M     0.1708              -0.057
IRAS04181+2655S     0.6637              0.36GV
IRAS04369+2539      0.4802              -0.1059
IRAS04489+3042	    -inf		-inf
IRAS04591-0856      0.7373              0.6447
IRAS05256+3049      0.7205              0.5443
IRAS05379-0758      0.355               nan
IRS5                0.4544              0.4544
OphIRS63            0.4228              -0.0308
V347_Aur            0.6317              0.4507
WLY2-42             -0.5635             -0.6372
YLW58               -1.7506             -2.2116
