## SourceMame                 source_distance     C18O_col_dens_fov             H2_col_dens_fov               area_arcsec2                  visual_mag_fov                H2_mass_fov                   C18O_col_dens_center          H2_col_dens_center            beam_area                     visual_mag_center             H2_mass_center
DG-Tau                        130.0               88479096115088.05             3.0967683640280816e+20        14399.999999985117            0.3294434429817108            0.028375464246601305          501719722002433.9             1.7560190270085186e+21        264.2058895285645             1.8681053478814027            0.002952184350171684
DoAr25                        130.0               138625773453653.67            4.8519020708778784e+20        16384.000000328233            0.5161597947742423            0.05058290038758132           127777634936014.38            4.472217222760503e+20         264.2058895285645             0.47576778965537264           0.0007518602869636093
DoAr43                        130.0               109691520669726.56            3.8392032234404295e+20        15359.599695546705            0.40842587483408826           0.037522585914866534          37225421234325.414            1.3028897432013894e+20        264.2058895285645             0.13860529182993506           0.00021903923879633947
EC92                          420.0               1024860686503782.2            3.5870124027632377e+21        51618.09267567299             3.8159706412374867            12.297546388211552            2516755786090685.0            8.808645251317397e+21         264.2058895285645             9.370899203529145             0.15457357541321073
Elia32                        130.0               1338013914574561.0            4.6830487010109633e+21        42988.606417074225            4.9819667032031525            1.2810137836147597            1577730986602514.5            5.522058453108801e+21         264.2058895285645             5.874530269264682             0.009283575118074148
Elia33                        130.0               1294577147498158.2            4.531020016243554e+21         63000.54389006682             4.820234059833568             1.8164022927812202            2311121013568983.5            8.088923547491442e+21         264.2058895285645             8.605237816480258             0.013598937790167584
FPTau                         130.0               21521833262214.207            7.532641641774973e+19         16383.999999988053            0.08013448555079758           0.007853061670397628          31662319259206.637            1.1081811740722323e+20        264.2058895285645             0.11789161426300344           0.00018630522044081797
GV_Tau                        130.0               304955296986874.8             1.0673435394540618e+21        14400.00000002229             1.1354718504830446            0.09779991553292412           671511414118411.5             2.3502899494144403e+21        264.2058895285645             2.5003084568238725            0.003951260835053269
GY92-235                      130.0               351930998197850.75            1.2317584936924776e+21        15359.593080615821            1.3103813762685932            0.12038629192297125           442404187326591.3             1.5484146556430697e+21        264.2058895285645             1.6472496336628402            0.002603163999739379
HK-Tau                        130.0               37253383696355.84             1.3038684293724545e+20        14399.999999963242            0.13870940738004836           0.011947251990055068          31982665436978.445            1.1193932902942456e+20        264.2058895285645             0.11908439258449421           0.00018819017917610692
Haro6-13                      130.0               60246251382232.164            2.108618798378126e+20         14399.999999966636            0.2243211487636304            0.019321121339920325          58348900048037.13             2.0422115016812996e+20        264.2058895285645             0.21725654273205314           0.0003433325460758176
Haro6-28                      130.0               27644964071794.863            9.675737425128202e+19         14399.999999788673            0.10293337686306599           0.008865808129264147          -9470902356378.9              -3.314815824732615e+19        264.2058895285645             -0.035263998135453355         -5.572802601204159e-05
Haro6-33                      130.0               35497151714152.51             1.2424003099953378e+20        14400.00000002179             0.13217024574418487           0.011384024063870596          51571280901922.13             1.8049948315672746e+20        264.2058895285645             0.19202072676247603           0.0003034521501154459
IRAS03220+3035                300.0               123424104985404.66            4.319843674489163e+20         15360.000000144071            0.45955783771161307           0.22484685295907506           71203960143525.16             2.4921386050233804e+20        264.2058895285645             0.26512112819397665           0.002231219279661319
IRAS03260+3111                300.0               1443335469499838.0            5.051674143249433e+21         16384.000000197502            5.374121428988759             2.8046768821632706            1322060100131865.5            4.6272103504615294e+21        264.2058895285645             4.9225642026186485            0.04142755512950819
IRAS03301+3111                300.0               88773159945634.88             3.107060598097221e+20         16383.999999961097            0.33053836149970434           0.17250322930038678           178564001192490.94            6.249740041737183e+20         264.2058895285645             0.6648659618869344            0.005595411284864919
IRAS04108+2803                130.0               113130934374474.8             3.959582703106618e+20         14400.000000143               0.42123220245815085           0.036281369549561765          274917911182094.94            9.622126891373323e+20         264.2058895285645             1.023630520358864             0.00161765288343545
IRAS04113+2758S               130.0               62105811711430.58             2.1737034099000702e+20        16383.999999738235            0.23124504360639045           0.022661674008450757          112835131252031.3             3.9492295938210955e+20        264.2058895285645             0.42013080785330803           0.0006639366443525988
IRAS04181+2655M               130.0               138026654291106.75            4.830932900188736e+20         14400.000000022286            0.513929031934972             0.04426548830054704           229936261818099.3             8.047769163633476e+20         264.2058895285645             0.856145655705689             0.001352974985649615
IRAS04181+2655S               130.0               118247889967688.86            4.13867614886911e+20          14400.000000023325            0.4402846966882032            0.037922389822548475          284559166373497.3             9.959570823072407e+20         264.2058895285645             1.0595288109651497            0.0016743832877705053
IRAS04295+2251                130.0               42608236341857.234            1.491288271965003e+20         14399.999999820475            0.1586476885069152            0.013664566434343502          -60151794453076.7             -2.1053128058576847e+20       264.2058895285645             -0.22396944743166858          -0.00035394101214593175
IRAS04369+2539                130.0               93199421114194.22             3.2619797389967976e+20        15360.000000110316            0.3470191211698721            0.03188190305153008           37683161180262.98             1.3189106413092042e+20        264.2058895285645             0.14030964269246854           0.0002217326404020247
IRAS04489+3042                130.0               -11427568432791.328           -3.9996489514769646e+19       15359.999999934638            -0.04254945693060601          -0.003909172659328073         55050003632701.016            1.9267501271445357e+20        264.2058895285645             0.20497341778133357           0.000323921408854974
IRAS04591-0856                400.0               86498341103198.98             3.0274419386119645e+20        15360.000000328759            0.32206829134169834           0.2801380353198505            253882770900896.38            8.885896981531373e+20         264.2058895285645             0.9453081895246142            0.01414323665434321
IRAS05256+3049                400.0               38015584630464.94             1.3305454620662728e+20        15360.000000148852            0.14154738958151838           0.12311925354826672           164103075530513.9             5.7436076435679864e+20        264.2058895285645             0.6110220897412751            0.009141812280911345
IRAS05379-0758                400.0               84181913046928.34             2.946366956642492e+20         15360.00000000619             0.3134432932598396            0.2726359306914568            58070922094617.12             2.0324822733115992e+20        264.2058895285645             0.21622151843740417           0.003235000118384157
IRAS05555-1405                400.0               21292837216312.086            7.45249302570923e+19          15359.780139185372            0.07928184069903436           0.06895910518935577           36359073765613.06             1.2725675817964572e+20        264.2058895285645             0.1353795299783465            0.0020254820087831794
IRAS19247+2238                300.0               46481737166499.05             1.6268608008274667e+20        20735.999999995667            0.1730702979603688            0.11431492767297545           -14349134990946.457           -5.02219724683126e+19         264.2058895285645             -0.05342763028543893          -0.00044963884836922115
IRS5                          130.0               1994790047744721.5            6.981765167106525e+21         15360.000000312777            7.427409752240984             0.6823830250326164            3284422336922419.5            1.1495478179228467e+22        264.2058895285645             12.229232105562199            0.01932596985368185
OphIRS63                      130.0               185847888072209.72            6.50467608252734e+20          14399.999999707932            0.6919868172901426            0.05960187586385799           492626950966883.56            1.7241943283840925e+21        264.2058895285645             1.8342492855149921            0.0028986812982212647
SR24                          130.0               77734224194435.64             2.7206978468052474e+20        23103.999999994674            0.2894359411494944            0.03999808976530343           119578880518668.12            4.185260818153384e+20         264.2058895285645             0.445240512569509             0.000703617745519976
T-Tauri                       130.0               126946232826089.06            4.443118148913117e+20         52518.100449777085            0.47267214350139547           0.14848023059391147           1321865134772754.5            4.6265279717046406e+21        264.2058895285645             4.9218382677708945            0.007778027039357202
V347_Aur                      200.0               39340997097373.375            1.376934898408068e+20         16383.999999753538            0.1464824360008583            0.033976480915648775          90139101001235.22             3.154868535043233e+20         264.2058895285645             0.3356243122386418            0.001255361512664302          
WLY2-42                       130.0               1375510330865549.8            4.814286158029424e+21         29223.781700602172            5.121581019180239             0.8952412354178867            1260460103320645.5            4.4116103616222593e+21        264.2058895285645             4.693202512364105             0.0074167118170828895
YLW58                         130.0               449229004062280.0             1.57230151421798e+21          15360.000000001985            1.6726611853382765            0.15367343899914776           418515826168149.25            1.4648053915885225e+21        264.2058895285645             1.5583036080728963            0.00246260176375285
