source               distance_pc          molecule             radius_au            theta_arcsec         sum_Kkms_arcsec2     mean_Kkms            n_pix                center_x_pix         center_y_pix         status
-------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- -------------------- --------------------
T-Tauri              130.0                HCO+                 3000.0               23.076923076923077   15968.2549314677     9.556276886306659    505                  55.98118538399234    68.25371199209616    NA
GV_Tau               130.0                HCO+                 3000.0               23.076923076923077   2645.996603099513    1.574997978051899    420                  30.708037842669846   28.91056987843118    NA
IRAS04591-0856       400.0                HCO+                 3000.0               7.5                  169.91460717028957   1.0113964712494137   42                   28.98532273093923    29.68452140794849    NA
IRAS03260+3111       300.0                HCO+                 3000.0               10.0                 1428.7211204618554   4.579234360393267    78                   33.83045302126848    33.08091090030783    NA
IRAS04181+2655M      130.0                HCO+                 3000.0               23.076923076923077   935.532250141754     0.5595288577405364   418                  27.251154064475756   25.773379441490007   NA
IRAS04181+2655S      130.0                HCO+                 3000.0               23.076923076923077   1287.1404131869517   0.7679835400858431   419                  29.38635232346007    28.39686251265225    NA
V347_Aur             200.0                HCO+                 3000.0               15.0                 249.96871664679944   0.3570981666339727   175                  33.25900405137733    28.587660161485303   NA
Elia32               130.0                HCO+                 3000.0               23.076923076923077   10151.231172267071   6.042399507514473    420                  37.97928783801138    37.31804352495624    NA
Elia33               130.0                HCO+                 3000.0               23.076923076923077   8329.88524976018     4.946487678178935    421                  26.137664658884223   26.15286358765382    NA
IRS5                 130.0                HCO+                 3000.0               23.076923076923077   22897.08886985195    13.760269753519545   416                  30.58978022518058    29.933802554191665   NA
EC92                 420.0                HCO+                 3000.0               7.142857142857143    1207.644505997820    8.110530119675104    45                   76.0                 56.0                 NA
YLW58                130.0                HCO+                 3000.0               23.076923076923077   202.54569183667803   0.12172217057741812  416                  28.906640885905883   29.61839088787246    NA
WLY2-42              130.0                HCO+                 3000.0               23.076923076923077   655.6306255025008    0.38932935006035674  421                  29.947635479575098   26.1008583793143     NA
OphIRS63             130.0                HCO+                 3000.0               23.076923076923077   389.5643679866355    0.23299304306193758  418                  25.78891372646711    26.250506693825727   NA
IRAS04113+2758S      130.0                HCO+                 3000.0               23.076923076923077   120.45783089427839   0.071872214137161    419                  29.780506220389398   30.700610253202637   NA
IRAS03301+3111       300.0                HCO+                 3000.0               10.0                 93.47568639987463    0.29211151999881485  80                   33.611657387759074   28.794240938254376   NA
GY92-235             130.0                HCO+                 3000.0               23.076923076923077   322.88300938988243   0.19450783698628624  415                  29.122123923609724   29.445854033874408   NA
IRAS05379-0758       400.0                HCO+                 3000.0               7.5                  37.70290974363363    0.21920296362881947  43                   34.83043766076871    32.879974524312985   NA
DG-Tau               130.0                HCO+                 3000.0               23.076923076923077   40.098263891090596   0.02392497845518369  419                  29.225862490695633   28.174652300071635   NA
DoAr25               130.0                HCO+                 3000.0               23.076923076923077   37.13620535875666    0.022317431104597468 416                  28.938706449713774   29.601324453132793   NA
IRAS04489+3042       130.0                HCO+                 3000.0               23.076923076923077   45.14586613459802    0.026808709106684658 421                  29.958932847121893   32.955311529031825   NA
