## SourceMame                 spectral index                Av literature                 corr. spectral index lit      Av Connelley                  corr. spectral index Con      
IRS5                          0.786                         7.9                           0.526                         nan                           0.786                         
WLY2-42                       0.072                         9.8                           -0.25                         nan                           0.072                         
OphIRS63                      0.309                         9.8                           -0.013                        24.0                          -0.479                        
Elia32                        0.027                         9.8                           -0.295                        27.0                          -0.859                        
Elia33                        -0.012                        9.8                           -0.333                        28.0                          -0.93                         
YLW58                         -0.761                        6.3                           -0.968                        1.9                           -0.824                        
GY92-235                      -0.365                        9.8                           -0.687                        nan                           -0.365                        
SR24                          -0.666                        10.7                          -1.018                        3.8                           -0.791                        
DoAr43                        -0.565                        11.3                          -0.936                        nan                           -0.565                        
GSS26                         -0.546                        27.0                          -1.432                        nan                           -0.546                        
DoAr25                        -1.076                        4.0                           -1.208                        nan                           -1.076                        
WL20E                         -0.107                        18.6                          -0.718                        nan                           -0.107                        
WL20W                         -0.107                        18.6                          -0.718                        nan                           -0.107                        
VSSG1                         -0.628                        19.7                          -1.274                        nan                           -0.628                        
Elia2-34                      -0.942                        2.3                           -1.017                        nan                           -0.942                        
IRAS03220+3035                0.389                         nan                           0.389                         nan                           0.389                         
IRAS03301+3111                0.321                         5.9                           0.127                         8.2                           0.052                         
IRAS19247+2238                -0.231                        nan                           -0.231                        1.9                           -0.293                        
IRAS05256+3049                1.19                          nan                           1.19                          nan                           1.19                          
IRAS04369+2539                -0.435                        18.0                          -1.018                        nan                           -0.435                        
IRAS03260+3111                -0.566                        nan                           -0.566                        nan                           -0.566                        
IRAS04113+2758S               -0.393                        17.1                          -0.946                        7.6                           -0.639                        
IRAS05379-0758                -0.723                        9.7                           -1.037                        9.2                           -1.021                        
DG-Tau                        -0.032                        3.2                           -0.136                        0.8                           -0.058                        
IRAS04489+3042                0.246                         nan                           0.246                         nan                           0.246                         
IRAS04591-0856                0.435                         nan                           0.435                         14.0                          -0.018                        
V347_Aur                      -0.218                        nan                           -0.218                        1.3                           -0.26                         
UYAur                         -0.155                        nan                           -0.155                        nan                           -0.155                        
FPTau                         -1.121                        0.8                           -1.147                        0.2                           -1.128                        
IRAS05555-1405                0.395                         nan                           0.395                         3.8                           0.272                         
IRAS04181+2655M               0.346                         nan                           0.346                         37.0                          -0.869                        
IRAS04181+2655S               0.462                         nan                           0.462                         24.6                          -0.345                        
GV_Tau                        0.97                          11.9                          0.585                         10.1                          0.643                         
Haro6-13                      -0.116                        11.0                          -0.477                        6.4                           -0.326                        
Haro6-28                      -0.923                        4.1                           -1.058                        1.9                           -0.985                        
IRAS04108+2803E               0.84                          nan                           0.84                          19.0                          0.216                         
IRAS04295+2251                0.478                         nan                           0.478                         18.0                          -0.113                        
Haro6-33                      -0.075                        9.3                           -0.38                         5.2                           -0.245                        
HK-Tau                        -0.427                        4.7                           -0.582                        2.8                           -0.519                        
T-Tauri                       0.094                         1.25                          0.053                         nan                           0.094                         
