## SourceMame                 spectral index                corrected spectral index      
IRS5                          0.786                         0.526                         
WLY2-42                       0.072                         -0.25                         
OphIRS63                      0.309                         -0.479                        
Elia32                        0.027                         -0.859                        
Elia33                        -0.012                        -0.93                         
YLW58                         -0.761                        -0.824                        
GY92-235                      -0.365                        -0.687                        
DoAr25                        -1.076                        -1.208                        
SR24                          -0.666                        -0.791                        
DoAr43                        -0.565                        -0.936                        
GSS26                         -0.546                        -1.432                        
WL20E                         -0.107                        -0.718                        
WL20W                         -0.107                        -0.718                        
VSSG1                         -0.628                        -1.274                        
Elia2-34                      -0.942                        -1.017                        
IRAS03220+3035                0.389                         0.389                         
IRAS03301+3111                0.321                         0.052                         
IRAS19247+2238                -0.231                        -0.293                        
IRAS05256+3049                1.19                          1.19                          
IRAS04369+2539                -0.435                        -1.018                        
IRAS03260+3111                -0.566                        -0.566                        
IRAS04113+2758S               -0.393                        -0.639                        
IRAS05379-0758                -0.723                        -1.021                        
DG-Tau                        -0.032                        -0.058                        
IRAS04489+3042                0.246                         0.246                         
IRAS04591-0856                0.435                         -0.018                        
V347_Aur                      -0.218                        -0.26                         
UYAur                         -0.155                        -0.155                        
FPTau                         -1.121                        -1.128                        
IRAS05555-1405                0.395                         0.272                         
IRAS04181+2655M               0.346                         -0.869                        
IRAS04181+2655S               0.462                         -0.345                        
GV_Tau                        0.97                          0.643                         
Haro6-13                      -0.116                        -0.326                        
Haro6-28                      -0.923                        -0.985                        
IRAS04108+2803E               0.84                          0.216                         
IRAS04295+2251                0.478                         -0.113                        
Haro6-33                      -0.075                        -0.245                        
HK-Tau                        -0.427                        -0.519                        
